size_MB,latency_ns
0.00049,1.110
0.00098,1.110
0.00195,1.109
0.00293,1.087
0.00391,1.082
0.00586,1.082
0.00781,1.082
0.01172,1.082
0.01562,1.082
0.02344,1.082
0.03125,1.082
0.04688,3.575
0.06250,3.788
0.09375,3.786
0.12500,3.786
0.18750,3.786
0.25000,3.787
0.37500,3.865
0.50000,3.862
0.75000,5.133
1.00000,5.838
1.50000,7.020
2.00000,7.421
3.00000,7.031
4.00000,7.363
6.00000,7.167
8.00000,6.976
12.00000,7.711
16.00000,8.168
24.00000,12.711
32.00000,17.148
48.00000,21.281
64.00000,22.373
96.00000,24.847
128.00000,25.307
192.00000,25.981
256.00000,26.368
384.00000,27.164
512.00000,26.902
768.00000,27.373
1024.00000,27.014
1536.00000,27.399

